player_id,player_name,feature_season,outcome_season,position,usage_signal,efficiency_signal,development_signal,stability_signal,cohort_signal,role_signal,penalty_signal,wr_signal_score,scoring_version,usage_formula_notes,efficiency_formula_notes,development_formula_notes,stability_formula_notes,cohort_formula_notes,role_formula_notes,penalty_formula_notes
00-0030035,A.Thielen,2020,2021,WR,29.3333,91.2156,50.0000,84.3889,0.0000,0.0000,20.0000,49.1681,wr_signal_score_v1,"0.55*scale(feature_targets_per_game,4.00,10.00)+0.45*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.50*scale(48.00-feature_finish,0.00,36.00)+0.50*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.65*scale(feature_games_played,8.00,17.00)+0.35*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.60*scale(12.00-feature_finish,0.00,12.00)+0.25*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
00-0035216,D.Johnson,2020,2021,WR,51.3333,56.3509,38.8889,78.5167,0.0000,0.0000,15.0000,47.2921,wr_signal_score_v1,"0.55*scale(feature_targets_per_game,4.00,10.00)+0.45*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.50*scale(48.00-feature_finish,0.00,36.00)+0.50*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.65*scale(feature_games_played,8.00,17.00)+0.35*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.60*scale(12.00-feature_finish,0.00,12.00)+0.25*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
00-0030431,R.Woods,2020,2021,WR,37.2396,69.8859,40.2778,89.8806,0.0000,0.0000,15.0000,47.0487,wr_signal_score_v1,"0.55*scale(feature_targets_per_game,4.00,10.00)+0.45*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.50*scale(48.00-feature_finish,0.00,36.00)+0.50*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.65*scale(feature_games_played,8.00,17.00)+0.35*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.60*scale(12.00-feature_finish,0.00,12.00)+0.25*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
00-0035676,A.Brown,2020,2021,WR,32.7378,93.1021,50.0000,75.9028,0.0000,0.0000,45.0000,46.9641,wr_signal_score_v1,"0.55*scale(feature_targets_per_game,4.00,10.00)+0.45*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.50*scale(48.00-feature_finish,0.00,36.00)+0.50*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.65*scale(feature_games_played,8.00,17.00)+0.35*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.60*scale(12.00-feature_finish,0.00,12.00)+0.25*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
00-0031408,M.Evans,2020,2021,WR,25.7813,84.0529,44.4445,90.5611,0.0000,0.0000,15.0000,46.8071,wr_signal_score_v1,"0.55*scale(feature_targets_per_game,4.00,10.00)+0.45*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.50*scale(48.00-feature_finish,0.00,36.00)+0.50*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.65*scale(feature_games_played,8.00,17.00)+0.35*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.60*scale(12.00-feature_finish,0.00,12.00)+0.25*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
00-0031236,B.Cooks,2020,2021,WR,36.0553,72.1294,43.0555,80.1111,0.0000,0.0000,15.0000,46.1730,wr_signal_score_v1,"0.55*scale(feature_targets_per_game,4.00,10.00)+0.45*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.50*scale(48.00-feature_finish,0.00,36.00)+0.50*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.65*scale(feature_games_played,8.00,17.00)+0.35*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.60*scale(12.00-feature_finish,0.00,12.00)+0.25*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
00-0035659,T.McLaurin,2020,2021,WR,45.2219,60.4447,37.5000,78.5167,0.0000,0.0000,15.0000,45.6941,wr_signal_score_v1,"0.55*scale(feature_targets_per_game,4.00,10.00)+0.45*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.50*scale(48.00-feature_finish,0.00,36.00)+0.50*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.65*scale(feature_games_played,8.00,17.00)+0.35*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.60*scale(12.00-feature_finish,0.00,12.00)+0.25*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
00-0031544,A.Cooper,2020,2021,WR,37.8125,65.3876,36.1111,88.2667,0.0000,0.0000,15.0000,45.2741,wr_signal_score_v1,"0.55*scale(feature_targets_per_game,4.00,10.00)+0.45*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.50*scale(48.00-feature_finish,0.00,36.00)+0.50*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.65*scale(feature_games_played,8.00,17.00)+0.35*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.60*scale(12.00-feature_finish,0.00,12.00)+0.25*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
00-0033857,J.Smith-Schuster,2020,2021,WR,36.6667,65.0850,33.3334,87.7417,0.0000,0.0000,15.0000,44.1783,wr_signal_score_v1,"0.55*scale(feature_targets_per_game,4.00,10.00)+0.45*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.50*scale(48.00-feature_finish,0.00,36.00)+0.50*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.65*scale(feature_games_played,8.00,17.00)+0.35*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.60*scale(12.00-feature_finish,0.00,12.00)+0.25*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
00-0032688,R.Chosen,2020,2021,WR,41.2500,56.6094,25.0000,85.7972,0.0000,0.0000,15.0000,42.1290,wr_signal_score_v1,"0.55*scale(feature_targets_per_game,4.00,10.00)+0.45*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.50*scale(48.00-feature_finish,0.00,36.00)+0.50*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.65*scale(feature_games_played,8.00,17.00)+0.35*scale(feature_total_ppr,80.00,260.00)","0.50*scale(feature_ppg_minus_cohort_expected,0.00,6.00)+0.30*scale(expected_finish_from_cohort-feature_finish,0.00,36.00)+0.20*scale(cohort_player_count,1.00,24.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.60*scale(12.00-feature_finish,0.00,12.00)+0.25*scale(11.00-feature_games_played,0.00,11.00)+0.15*scale(0.14-feature_target_share,0.00,0.14)"
