player_id,player_name,feature_season,outcome_season,position,usage_signal,efficiency_signal,development_signal,stability_signal,cohort_signal,role_signal,penalty_signal,wr_signal_score,scoring_version,usage_formula_notes,efficiency_formula_notes,development_formula_notes,stability_formula_notes,cohort_formula_notes,role_formula_notes,penalty_formula_notes
00-0035676,A.Brown,2020,2021,WR,26.7855,93.1021,30.0000,78.5417,0.0000,0.0000,57.5000,32.1488,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0030279,K.Allen,2020,2021,WR,45.0000,68.9692,30.0000,77.9417,0.0000,0.0000,53.7500,31.6248,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0031408,M.Evans,2020,2021,WR,21.0938,84.0529,26.6667,91.0389,0.0000,0.0000,35.0000,30.9314,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0030431,R.Woods,2020,2021,WR,30.4687,69.8859,24.1667,90.1639,0.0000,0.0000,35.0000,29.5863,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0033127,W.Fuller,2020,2021,WR,21.1365,97.2423,30.0000,45.5583,0.0000,0.0000,50.0000,29.5756,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0031236,B.Cooks,2020,2021,WR,29.4998,72.1294,25.8333,80.7778,0.0000,0.0000,35.0000,29.4455,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0033921,C.Godwin,2020,2021,WR,22.5000,85.0725,27.5000,52.1944,0.0000,0.0000,35.0000,28.4886,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0035216,D.Johnson,2020,2021,WR,42.0000,56.3509,23.3333,78.7278,0.0000,0.0000,35.0000,28.3414,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0031544,A.Cooper,2020,2021,WR,30.9375,65.3876,21.6667,88.0889,0.0000,0.0000,35.0000,28.1044,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
00-0035659,T.McLaurin,2020,2021,WR,36.9998,60.4447,22.5000,78.7278,0.0000,0.0000,35.0000,27.8782,wr_signal_score_cohort_upside_v1,"0.45*scale(feature_targets_per_game,4.00,10.00)+0.55*scale(feature_target_share,0.12,0.30)","0.60*scale(feature_ppg_per_target,0.80,2.50)+0.40*scale(feature_ppg,6.00,18.00)","0.30*scale(48.00-feature_finish,0.00,36.00)+0.70*scale(expected_ppg_baseline-feature_ppg,0.00,4.00)","0.55*scale(feature_games_played,8.00,17.00)+0.45*scale(feature_total_ppr,80.00,260.00)","0.65*scale(feature_ppg_minus_cohort_expected,0.00,7.00)+0.20*scale(expected_finish_from_cohort-feature_finish,0.00,42.00)+0.15*scale(cohort_player_count,1.00,16.00)","0.18*scale(route_participation_season_avg,0.45,0.95)+0.22*scale(target_share_season_avg,0.10,0.30)+0.15*scale(air_yard_share_season_avg,0.08,0.35)+0.12*scale(routes_consistency_index,0.55,0.95)+0.18*scale(target_earning_index,0.12,0.42)+0.15*scale(opportunity_concentration_score,0.18,0.52)","0.45*scale(12.00-feature_finish,0.00,12.00)+0.20*scale(11.00-feature_games_played,0.00,11.00)+0.35*scale(0.14-feature_target_share,0.00,0.14)"
