player_id,player_name,feature_season,outcome_season,position,team,outcome_games_played,outcome_total_ppr,outcome_ppg,outcome_spike_week_rate,outcome_dud_week_rate,outcome_total_targets,outcome_targets_per_game,outcome_total_receptions,outcome_receptions_per_game,outcome_total_receiving_yards,outcome_receiving_yards_per_game,outcome_total_receiving_tds,outcome_receiving_tds_per_game
00-0038977,T.Dell,2023,2024,WR,HOU,14,140,10,0.0714,0.2143,81,5.7857,51,3.6429,667,47.6429,3,0.2143
00-0038979,C.Tillman,2022,2023,WR,CLE,11,44.2,4.0182,0,0.7273,44,4,21,1.9091,224,20.3636,0,0
00-0038979,C.Tillman,2023,2024,WR,CLE,9,80.4,8.9333,0.1111,0.5556,49,5.4444,29,3.2222,339,37.6667,3,0.3333
00-0038994,J.Addison,2022,2023,WR,MIN,17,221.3,13.0176,0.1765,0.1765,108,6.3529,70,4.1176,911,53.5882,10,0.5882
00-0038994,J.Addison,2023,2024,WR,MIN,15,212.5,14.1667,0.2,0.2,99,6.6,63,4.2,875,58.3333,9,0.6
00-0038997,J.Downs,2022,2023,WR,IND,17,157.1,9.2412,0.0588,0.1765,98,5.7647,68,4,771,45.3529,2,0.1176
00-0038997,J.Downs,2023,2024,WR,IND,14,182.2,13.0143,0.1429,0.0714,107,7.6429,72,5.1429,803,57.3571,5,0.3571
00-0039052,T.Palmer,2022,2023,WR,TB,17,95.7,5.6294,0,0.4706,68,4,39,2.2941,385,22.6471,3,0.1765
00-0039052,T.Palmer,2023,2024,WR,TB,10,35.2,3.52,0,0.7,22,2.2,12,1.2,172,17.2,1,0.1
00-0039062,J.Mingo,2022,2023,WR,CAR,15,84.8,5.6533,0,0.4667,85,5.6667,43,2.8667,418,27.8667,0,0
00-0039062,J.Mingo,2023,2024,WR,CAR,14,32.2,2.3,0,0.7857,42,3,17,1.2143,167,11.9286,0,0
00-0039064,Z.Flowers,2022,2023,WR,BAL,16,206.4,12.9,0.1875,0.125,108,6.75,77,4.8125,858,53.625,5,0.3125
00-0039064,Z.Flowers,2023,2024,WR,BAL,17,209.5,12.3235,0.1765,0.1765,116,6.8235,74,4.3529,1059,62.2941,4,0.2353
00-0039067,R.Rice,2022,2023,WR,KC,16,212.5,13.2812,0.125,0.0625,102,6.375,79,4.9375,938,58.625,7,0.4375
00-0039067,R.Rice,2023,2024,WR,KC,3,64.9,21.6333,0.3333,0,29,9.6667,24,8,288,96,2,0.6667
00-0039075,P.Nacua,2022,2023,WR,LA,17,298.5,17.5588,0.4118,0,160,9.4118,105,6.1765,1486,87.4118,6,0.3529
00-0039075,P.Nacua,2023,2024,WR,LA,11,206.6,18.7818,0.3636,0.0909,106,9.6364,79,7.1818,990,90,3,0.2727
00-0039146,J.Reed,2022,2023,WR,GB,16,217.2,13.575,0.125,0.0625,94,5.875,64,4,793,49.5625,8,0.5
00-0039146,J.Reed,2023,2024,WR,GB,17,197,11.5882,0.1176,0.1765,75,4.4118,55,3.2353,857,50.4118,6,0.3529
00-0039236,J.Wilson,2023,2024,WR,PHI,9,14.8,1.6444,0,0.7778,15,1.6667,5,0.5556,38,4.2222,1,0.1111
00-0039337,M.Nabers,2023,2024,WR,NYG,15,273.6,18.24,0.3333,0,170,11.3333,109,7.2667,1204,80.2667,7,0.4667
00-0039342,X.Legette,2023,2024,WR,CAR,15,125.1,8.34,0,0.2,84,5.6,49,3.2667,497,33.1333,4,0.2667
00-0039355,L.McCaffrey,2023,2024,WR,WAS,12,34.8,2.9,0,0.9167,24,2,18,1.5,168,14,0,0
